Series ID,Year,Period,Label,Value
LNU04000000,1965,M08,1965 August,4.2
LNU04000000,1965,M09,1965 September,3.8
LNU04000000,1965,M10,1965 October,3.6
LNU04000000,1965,M11,1965 November,3.9
LNU04000000,1965,M12,1965 December,3.7
LNU04000000,1966,M01,1966 January,4.4
LNU04000000,1966,M02,1966 February,4.2
LNU04000000,1966,M03,1966 March,4
LNU04000000,1966,M04,1966 April,3.6
LNU04000000,1966,M05,1966 May,3.7
LNU04000000,1966,M06,1966 June,4.6
LNU04000000,1966,M07,1966 July,3.9
LNU04000000,1966,M08,1966 August,3.6
LNU04000000,1966,M09,1966 September,3.3
LNU04000000,1966,M10,1966 October,3.2
LNU04000000,1966,M11,1966 November,3.4
LNU04000000,1966,M12,1966 December,3.5
LNU04000000,1967,M01,1967 January,4.2
LNU04000000,1967,M02,1967 February,4.2
LNU04000000,1967,M03,1967 March,3.9
LNU04000000,1967,M04,1967 April,3.5
LNU04000000,1967,M05,1967 May,3.2
LNU04000000,1967,M06,1967 June,4.6
LNU04000000,1967,M07,1967 July,4.1
LNU04000000,1967,M08,1967 August,3.7
LNU04000000,1967,M09,1967 September,3.7
LNU04000000,1967,M10,1967 October,3.8
LNU04000000,1967,M11,1967 November,3.7
LNU04000000,1967,M12,1967 December,3.5
LNU04000000,1968,M01,1968 January,4
LNU04000000,1968,M02,1968 February,4.2
LNU04000000,1968,M03,1968 March,3.8
LNU04000000,1968,M04,1968 April,3.2
LNU04000000,1968,M05,1968 May,2.9
LNU04000000,1968,M06,1968 June,4.5
LNU04000000,1968,M07,1968 July,4
LNU04000000,1968,M08,1968 August,3.5
LNU04000000,1968,M09,1968 September,3.3
LNU04000000,1968,M10,1968 October,3.2
LNU04000000,1968,M11,1968 November,3.3
LNU04000000,1968,M12,1968 December,3.1
LNU04000000,1969,M01,1969 January,3.7
LNU04000000,1969,M02,1969 February,3.7
LNU04000000,1969,M03,1969 March,3.5
LNU04000000,1969,M04,1969 April,3.2
LNU04000000,1969,M05,1969 May,2.9
LNU04000000,1969,M06,1969 June,4.1
LNU04000000,1969,M07,1969 July,3.8
LNU04000000,1969,M08,1969 August,3.5
LNU04000000,1969,M09,1969 September,3.7
LNU04000000,1969,M10,1969 October,3.5
LNU04000000,1969,M11,1969 November,3.3
LNU04000000,1969,M12,1969 December,3.2
LNU04000000,1970,M01,1970 January,4.2
LNU04000000,1970,M02,1970 February,4.7
LNU04000000,1970,M03,1970 March,4.6
LNU04000000,1970,M04,1970 April,4.3
LNU04000000,1970,M05,1970 May,4.1
LNU04000000,1970,M06,1970 June,5.6
LNU04000000,1970,M07,1970 July,5.3
LNU04000000,1970,M08,1970 August,5
LNU04000000,1970,M09,1970 September,5.2
LNU04000000,1970,M10,1970 October,5.1
LNU04000000,1970,M11,1970 November,5.5
LNU04000000,1970,M12,1970 December,5.6
LNU04000000,1971,M01,1971 January,6.6
LNU04000000,1971,M02,1971 February,6.6
LNU04000000,1971,M03,1971 March,6.3
LNU04000000,1971,M04,1971 April,5.7
LNU04000000,1971,M05,1971 May,5.3
LNU04000000,1971,M06,1971 June,6.5
LNU04000000,1971,M07,1971 July,6.2
LNU04000000,1971,M08,1971 August,5.9
LNU04000000,1971,M09,1971 September,5.8
LNU04000000,1971,M10,1971 October,5.4
LNU04000000,1971,M11,1971 November,5.7
LNU04000000,1971,M12,1971 December,5.5
LNU04000000,1972,M01,1972 January,6.5
LNU04000000,1972,M02,1972 February,6.4
LNU04000000,1972,M03,1972 March,6.1
LNU04000000,1972,M04,1972 April,5.5
LNU04000000,1972,M05,1972 May,5.1
LNU04000000,1972,M06,1972 June,6.2
LNU04000000,1972,M07,1972 July,5.9
LNU04000000,1972,M08,1972 August,5.5
LNU04000000,1972,M09,1972 September,5.4
LNU04000000,1972,M10,1972 October,5.1
LNU04000000,1972,M11,1972 November,4.9
LNU04000000,1972,M12,1972 December,4.8
LNU04000000,1973,M01,1973 January,5.5
LNU04000000,1973,M02,1973 February,5.6
LNU04000000,1973,M03,1973 March,5.2
LNU04000000,1973,M04,1973 April,4.8
LNU04000000,1973,M05,1973 May,4.4
LNU04000000,1973,M06,1973 June,5.4
LNU04000000,1973,M07,1973 July,5
LNU04000000,1973,M08,1973 August,4.7
LNU04000000,1973,M09,1973 September,4.7
LNU04000000,1973,M10,1973 October,4.2
LNU04000000,1973,M11,1973 November,4.6
LNU04000000,1973,M12,1973 December,4.6
LNU04000000,1974,M01,1974 January,5.7
LNU04000000,1974,M02,1974 February,5.8
LNU04000000,1974,M03,1974 March,5.3
LNU04000000,1974,M04,1974 April,4.8
LNU04000000,1974,M05,1974 May,4.6
LNU04000000,1974,M06,1974 June,5.8
LNU04000000,1974,M07,1974 July,5.7
LNU04000000,1974,M08,1974 August,5.3
LNU04000000,1974,M09,1974 September,5.7
LNU04000000,1974,M10,1974 October,5.5
LNU04000000,1974,M11,1974 November,6.2
LNU04000000,1974,M12,1974 December,6.7
LNU04000000,1975,M01,1975 January,9
LNU04000000,1975,M02,1975 February,9.1
LNU04000000,1975,M03,1975 March,9.1
LNU04000000,1975,M04,1975 April,8.6
LNU04000000,1975,M05,1975 May,8.3
LNU04000000,1975,M06,1975 June,9.1
LNU04000000,1975,M07,1975 July,8.7
LNU04000000,1975,M08,1975 August,8.2
LNU04000000,1975,M09,1975 September,8.1
LNU04000000,1975,M10,1975 October,7.8
LNU04000000,1975,M11,1975 November,7.8
LNU04000000,1975,M12,1975 December,7.8
LNU04000000,1976,M01,1976 January,8.8
LNU04000000,1976,M02,1976 February,8.7
LNU04000000,1976,M03,1976 March,8.1
LNU04000000,1976,M04,1976 April,7.4
LNU04000000,1976,M05,1976 May,6.8
LNU04000000,1976,M06,1976 June,8
LNU04000000,1976,M07,1976 July,7.8
LNU04000000,1976,M08,1976 August,7.6
LNU04000000,1976,M09,1976 September,7.4
LNU04000000,1976,M10,1976 October,7.2
LNU04000000,1976,M11,1976 November,7.4
LNU04000000,1976,M12,1976 December,7.4
LNU04000000,1977,M01,1977 January,8.3
LNU04000000,1977,M02,1977 February,8.5
LNU04000000,1977,M03,1977 March,7.9
LNU04000000,1977,M04,1977 April,6.9
LNU04000000,1977,M05,1977 May,6.4
LNU04000000,1977,M06,1977 June,7.5
LNU04000000,1977,M07,1977 July,7
